234967716,"聽說不能穿？有學妹衣服都買好了耶
什麼時候才要說明一下",所以慶典能不能穿日式服裝,2020-12-12T08:10:01.051Z,2020-12-12T08:10:01.051Z,15,6,F
234964761,"乳題
請各隊不依序回報盥洗室熱水使用情形

範例：4A無熱水、5B有熱水
可用（註明細節）",友誼樓震災熱水使用,2020-12-11T16:37:04.388Z,2020-12-11T16:37:04.388Z,4,7,M
234963224,此篇文章為轉貼文章，請更新至最新版本觀看完整內容。,警專都要蓋新宿舍了啊警英還在撐？,2020-12-11T12:48:08.501Z,2020-12-11T12:48:08.501Z,12,16,M
234958421,"本校有很多警監教官需要同學們的關心！
請大家保持與教官們的良性互動
https://i.imgur.com/I4nuEUA.jpg",主旨：下週加強查察同學戴罩上課情形,2020-12-10T17:08:31.137Z,2020-12-10T17:08:31.137Z,2,15,M
234957344,"好想聽忻玥現場唱炙愛喔喔喔！
又美又會唱🥰

日式慶典應該不會唱警歌吧拜託拜託🙏
https://i.imgur.com/xhuuBih.jpg",剛剛地震大家還好嗎？,2020-12-10T14:47:03.358Z,2020-12-10T14:47:03.358Z,7,15,M
234956625,"地震地震地震地震地震地震地震地震
-
更新
芮氏規模6.7
桃園最大震度4級

警大災情回報：
警英樓文康室樑柱出現裂痕
警賢樓盥洗室磁磚掉落（不知有無人員受傷）

以下請留言補充各樓狀況
另外請消防系的捧油幫大家科普一下地震相關知識
希望警大平安",地震,2020-12-10T13:22:17.636Z,2020-12-10T14:04:31.107Z,33,18,M
234953876,"為啥好好一個午休，射擊館可以那麼吵？
一堆人在外面參觀、嬉鬧、聊天、大聲嚷嚷
當下被吵到睡不著，和隊部反映應該也沒用，
想請問隊部授權，
下次遇到類似情況學生可否大聲對窗外喝斥這些人？
當然了我會避開髒話的
幹這些人自己不睡，別人要睡，吵死了",中午射擊館在吵什麼,2020-12-10T05:41:53.638Z,2020-12-10T05:41:53.638Z,14,12,M
234942124,"12/8下午最後一節柔道場B1第3場地，拾獲三星銀灰色手機一隻，鎖定桌面是ㄇㄚˇ幾兔中秋桌布，背後有一張Hello Kitty 的卡片

如果有同學手機不見，它會在實總
https://i.imgur.com/qPZqutw.jpg
https://i.imgur.com/h9jlKRv.jpg
順帶一提，ㄇㄚˇ幾這張真的很可愛",拾獲手機,2020-12-08T09:49:27.242Z,2020-12-08T09:49:27.242Z,8,16,M
234941747,"https://moptt.tw/p/Examination.M.1607335012.A.F47
額這代表一定會有人落榜欸，可以請學長同學讓一下嗎？我真的很需要這份工作，不想再浪費一年😥",110警察特考暫定名額,2020-12-08T08:47:40.221Z,2020-12-08T08:47:40.221Z,71,21,M
234939943,"https://www.ctwant.com/article/89340
是以前的福利社阿姨欸
那逼卡阿姨現在應該也是哪裡的分局長了吧",南港分局刑警集體喝花酒醜聞　北市唯一女偵查隊長遭牽連拔官,2020-12-08T02:46:31.673Z,2020-12-08T02:46:31.673Z,30,23,M
234939644,"學生想請問學長需要這樣嗎？
https://i.imgur.com/i2MUvA8.jpg
湊字數湊字數湊字數",學長為什麼一直亂版啊,2020-12-08T01:13:30.438Z,2020-12-08T01:13:30.438Z,32,14,M
234938176,"一天的查三次內務
11點查一次 7點再查一次
然後23.30又再查一次
是在自己隊上得不到溫暖來這裡肆虐是不是
拼命查 一直查 查到爽
到底查爽沒？？？？？？？¿¿¿¿
這樣你們很開心嗎
上一梯正常多了 你們這一梯
口令左右分不清
稍息立正也搞錯
好不容易正常了開始找其他地方麻煩
上一梯有事情都會想跟他們分享
有困擾的都會去問 
現在實習中隊部兩間寢室隔幾個禮拜就變鬼門
連看都不想看  現在在樹立什麼威權？
原本還想要勉為其難尊重你們
每一梯都有其風格和手段
不予置評 但你們真的太誇張了
誇張到了極點 是平常缺乏關愛來這裡討關注是不是
這樣子紅你們很爽嗎
一個禮拜 必要實習幹部要查兩次
你們現在是怎樣 把每天當作最後一個禮拜在過是不是
盡情揮灑著福爾摩斯的觀察力
鍛煉警察該具備的細心 從書架前查到書架後
從桌下查到床上 舉個手答右 還在那邊放下舉手？
為教育班長甄選作準備？
你們真的是令人匪夷所思
你們的寢室也讓我們組織人力一天查一次就好
看你們覺得擾不擾民
還是你們都是第一次當實區 實中
拿到印章很興奮
一定要蓋到爽 蓋蓋蓋蓋蓋蓋 蓋！
估計下面很快就有一堆什麼不爽不要讀
你爸媽看你不爽也沒有不要你啊
他還不是勉為其難把你養大送來這裡關
所以閉嘴",你們到底哪裡有ㄅ？,2020-12-07T15:52:47.242Z,2020-12-07T15:52:47.242Z,72,44,M
234935241,最近小弟系上要辦系遊 但多數人忙著準備特考參與度不高 想請問各位有什麼想法嗎 小弟我好苦惱,系遊去哪,2020-12-07T07:30:35.721Z,2020-12-07T07:30:35.721Z,18,9,M
234933174,"今天早上外面下著雨
但卻在室外早點名 
難道不知道淋雨很容易感冒嗎？",早點名,2020-12-06T23:32:24.307Z,2020-12-06T23:32:24.307Z,36,16,M
234931240,"該拒絕就要懂得拒絕
沒人能強迫你
https://i.imgur.com/TR4A3TY.jpg
https://i.imgur.com/pWudkyr.jpg
https://i.imgur.com/7u56Lqa.jpg
https://i.imgur.com/YSm3lXT.jpg
原圖出自於理科太太 https://youtu.be/t-vmEt0gqcg",珍惜生命慎選幹部,2020-12-06T14:23:37.101Z,2020-12-06T14:23:37.101Z,8,29,M
234928576,"原文B3,B4不知道自己也是警察官嗎？
真的是抱歉秀下限欸
樓主也是很愛戰出身
一搭一唱拉仇恨值？",「官」受保障？？,2020-12-06T05:37:22.572Z,2020-12-06T05:38:00.537Z,5,20,M
234924244,"聽說88的學弟妹要開始戒嚴了是嗎
內務一週要查4次
查的還一大堆 又要要求各種動作確實
不說我還以為小大一勒",871、881？,2020-12-05T09:36:55.661Z,2020-12-05T09:36:55.661Z,122,28,M
234924158,此篇文章為轉貼文章，請更新至最新版本觀看完整內容。,該讓大家睡覺了吧 6.起床是什麼鬼,2020-12-05T09:16:38.552Z,2020-12-05T09:16:38.552Z,1,23,M
234919970,"一群連業務都不會辦的想派官
真是笑破大家內衣褲
不否認或許真的有人才
但肯定少到靠北
等到業務發現難辦或是吃不下
再丟給年輕同事然後自己當沒事一樣
有這種爽到靠北的好事
難怪吵著要派官
說實話啦
如果派官只是無效警力的轉移
不派剛好而已
乖乖待退就好了啦

https://pttweb.cc/s/TPC_Police/1VoMwsV0",來說笑話啦,2020-12-04T12:53:24.920Z,2020-12-04T12:53:24.920Z,36,21,M
234915494,此篇文章為轉貼文章，請更新至最新版本觀看完整內容。,置板凳！,2020-12-03T15:51:57.488Z,2020-12-03T15:51:57.488Z,4,2,M
234915093,如題，為了拿預訂的點心還要特地換衣服，又不能穿我們的紅色期服，這樣到舊館有點不方便啊，可不可以讓友誼大軍可以在871文康室直接拿啊,日式慶典預購的點心可不可以不要讓學長走那麼遠去拿,2020-12-03T14:55:03.422Z,2020-12-03T16:26:57.644Z,9,13,M
