17a8e83e-4e13-43bd-ae05-d15d34047b46,234970939,2020-12-12T19:42:06.351Z,2020-12-12T19:42:06.351Z,1,有大奶子 但不會嫁你,0,M
59bbd69e-9895-49aa-bd87-efec8a839b5f,234970661,2020-12-13T00:34:27.845Z,2020-12-13T00:34:27.845Z,1,拉拉鏈,0,M
965cb98b-83f6-4950-8360-eec44390c38a,234970383,2020-12-12T17:25:06.589Z,2020-12-12T17:34:18.936Z,1,"之前出現在科大路一段這裡！（具體時間我忘記了抱歉...有一段時間了）
那時候他跑進別人的檳榔園，檳榔園的主人跑來問我們住這邊的住戶是不是我們的，但因為貓咪會抓他們的檳榔樹，就把他趕跑了
當時，因為我們宿舍也不能養寵物，所以也不方便收留他😢😢
希望他沒事😢😢",0,F
30574ae9-a8a8-4a9b-80e7-effebfe23634,234970383,2020-12-12T17:42:02.596Z,2020-12-12T17:42:02.596Z,2,"B1 貓貓是3天前走丟的😥
而且是住在內埔市區
我們都在住家附近找
沒想到會跑那麼遠...
很謝謝妳的回覆❤❤",0,F
81f3e418-e61d-4b5c-8e4d-d9346e2d75e4,234970383,2020-12-12T17:47:02.428Z,2020-12-12T17:47:02.428Z,3,B2可是我看到那隻照片橘貓已經很久了，少說也有1個禮拜了😢😢會不會不是您朋友的呢？,0,F
683ed42c-e565-4fb8-908f-b07c899781fe,234970383,2020-12-12T17:49:52.057Z,2020-12-12T17:49:52.057Z,4,"B3 請問妳看到的是這隻嗎😭
https://i.imgur.com/cYPgIPj.jpg",0,F
8d084f20-990d-446f-bd0c-ac2d1b6e8672,234970383,2020-12-12T17:55:52.008Z,2020-12-12T18:00:33.410Z,5,"B4我印象中他鈴鐺沒那麼小，而且項圈好像也不是這款（真的很抱歉，因為那時候距離貓咪有點距離加上看到時間又已經很久了）
那時候看到的貓身材是幼貓，聽檳榔園阿姨說，貓咪的指甲都把檳榔樹抓的一痕一痕，如果您朋友的貓有定期剪指甲，那應該就不是他的貓貓🥺🥺
明天我有空會幫你去附近路上找看看😢😢",0,F
4d052d2f-cb8c-4975-a79f-ffebcf053947,234970383,2020-12-12T18:03:52.169Z,2020-12-12T18:03:52.169Z,6,"B5 真的很謝謝妳的回覆😊
希望妳好心有好報👍",0,F
93df1ef3-efb1-47a7-90d6-9866c76e6145,234970258,2020-12-12T16:18:13.120Z,2020-12-12T16:18:13.120Z,1,"高中固定有交集的朋友不超過十個┐(´ー｀)┌
上大學之後沒朋友好像也沒什麼關係哈哈哈
我就邊緣👍
出去玩都不找人陪，一個人想去哪就去哪
完全不用討論也不會跟人吵架超讚#
邊緣的好處還挺多的",4,F
f4a9b559-4082-4b40-ab8c-412eb825c8ea,234970258,2020-12-12T16:19:36.115Z,2020-12-12T16:19:36.115Z,2,看來我們可以當朋友哈哈哈,3,F
30c67590-0799-4e20-88d5-78f76cf1fe93,234970258,2020-12-12T16:21:34.763Z,2020-12-12T16:21:34.763Z,3,我也邊跑山都一個人自由自在,0,M
