228928769,"抱歉 我南部網路比較慢
但還是祝大家母親節快樂",母親節快樂,2018-05-22T14:05:54.928Z,2018-05-22T16:53:59.471Z,4,4,M
228883883,"我從小被阿姨養大
她就跟我的媽媽一樣
前幾年都是去花店買鮮花
今年想嘗試自己綁乾燥花束
居然受到好評！！

能在酸言酸語的傳統婦女口中聽到好評！
覺得信心大增

https://i.imgur.com/97e8LCW.jpg
https://i.imgur.com/buf61Nr.jpg",綁給阿姨的乾燥花束,2018-05-15T04:24:39.841Z,2018-05-15T04:24:39.841Z,4,19,F
228879938,回個鄉下過母親節，然後我媽帶我在街上走，我媽打個招呼都是說這個人的孩子在台北當醫生，女兒在高雄當醫生，然後在我家巷底的孩子也在台北當醫生，說很會存錢，又要在哪邊買一棟房子惹，摸摸我的口袋覺得很虛，整天游手好閒的樣子...  可4好像都沒看到他兒子回來過...,怎麼大家的兒子都是醫生啊...,2018-05-14T12:24:05.745Z,2018-05-15T05:47:25.870Z,4,6,M
228879808,"男友的姊姊二月生了小baby
母親節時他很開心的跟我說
他們家多了一個人可以過母親節

阿嬤三月的時候離開了
我們家少了一個人可以過母親節

聽著同學講電話
用台語告訴阿嬤自己吃飽了
看似日常的對話

我卻再也做不到


母親節快樂
希望阿嬤在天上也很快樂",少了妳的母親節,2018-05-14T11:57:40.470Z,2018-05-14T16:30:32.420Z,0,4,F
228879581,"第一次自己做的花束差點把話給拆了😂😂

https://i.imgur.com/otprPEe.jpg
大合照
https://i.imgur.com/IuYo1ZH.jpg
藍色滿天星+粉色白梅
https://i.imgur.com/k61J3vX.jpg
以溫暖為主
https://i.imgur.com/oabvb1b.jpg
紫色滿天星+粉色白梅
https://i.imgur.com/6qjTr22.jpg
以紫色亮麗的為主

其實除了送給我媽媽，還有其他對我很好的媽媽，希望她們收到都會感到幸福快樂
畢竟媽媽們真的很辛苦😊",乾燥花束 ***母親節~,2018-05-14T11:16:11.173Z,2018-05-14T11:16:11.173Z,0,14,F
228877286,"昨天是母親節，小時候因為家裡發生很多事情，在我8歲的時候就被迫與媽媽分開生活，大家都過得很痛苦，媽媽花了很久很久的時間才從失去我和妹妹的痛苦中走出來；雖然現在她偶爾還是會很傷心，但比起那時候的樣子，真的已經好太多太多了。

母親節前幾個禮拜，就和妹妹討論要不要一起請媽媽吃頓飯，兩人當然很開心的說好了，雖然吃的不是非常高級，但已經是我們兩女兒最滿最滿的心意。吃完飯後還買了一束康乃馨送給媽媽，媽媽嘴上說不用買了沒關係，但收到時我想一定還是非常非常開心吧！

回到家之後，幫媽媽拍了好多好多漂亮的照片，媽媽從年輕的時候就很美（不浮誇），雖然經過歲月的洗禮，但還是不減她的美麗，余韻猶存。

媽媽很喜歡大家誇獎她漂亮，從以前就很喜歡問我和妹妹的同學有沒有說她很漂亮，還是她長得有沒有比其他同學的媽媽年輕之類的問題哈哈，有時候很傲嬌，好吧但是她是真的有本錢囂張。

媽媽我愛你，母親節快樂❤️❤️❤️
https://i.imgur.com/jLCQuU0.jpg",#圖 最美麗的媽媽,2018-05-14T03:42:59.380Z,2018-05-14T16:06:47.351Z,0,12,F
228877206,"看著板上的大家
用各種可愛的方式慶祝母親節
真的很難不難過
因為我只能用三炷香幫你慶祝
—————————————————————
介紹一下
我家有4+1個小孩
分別是大姐、二姐，三哥、我、同母異父的妹妹
—————————————————————
那一年，我一歲
我還來不及記清你的模樣
你就和爸爸離婚
從此在我的生命裡沈默
唸小學的時候完全不知道你的模樣
家裡連一張你的照片都沒有
我唯一知道的，只有你的名字
————————————————————
過些年，十二歲了
因為二姐的婚禮而有機會與你相處
要離開你住所的那一晚
大姐問我要不要抱抱你
那時候的我，才第一次見你
跟你不熟，也不知道要怎麼開口
卻不料
這一個錯過，成為我這輩子的遺憾
—————————————————————
再過幾年，我十四歲
因為學校的表演，在臉書上和朋友互相打氣
你看見後用臉書私訊我
說想要來參加我的表演
我給了你時間和地點
我以為你只是隨口說說
不想你真的來了
那次是我第二次見你
—————————————————————
第三次見你，是我十五歲那年
外公過世了，我去參加外公的葬禮
那個週末我住在你那裡
你中午煮了一碗榨菜肉絲麵給我吃
到現在，榨菜肉絲成了我打死都不碰的食物
因為，每一口，都會想起我懷念的媽媽味
—————————————————————
同年，第四次見你
那次你帶著我、大姐、外婆
還有繼父和你再生的妹妹
一起到台南泡溫泉
那是我第一次和你出去玩
也是最後一次和你相處
—————————————————————
最後一次見你，在我剛滿16歲不到2個月
不同的是，你再也沒辦法笑著叫我的名字
你躺在冰櫃裡，樣子和平時睡著的模樣一樣
我看著你，眼淚不停的掉
我恨你，恨你為什麼不多陪我一段時間
我恨你，恨你為什麼沒有遵守和我的承諾
我恨你，恨你為什麼忘了還有我在為了你努力
我想，由愛生恨就是像這樣的吧
—————————————————————
今年，我18歲
我仍舊遵守著和你之間的承諾
仍舊沒有忘記你對我說的每一句鼓勵
依舊朝著我的夢想而努力
我相信，你在天上一定有看見我的努力
————————————————————
媽，三年了，我不恨你了
我能理解你的為難
媽，你在那裡，一切都好嗎？
即使我們相處的次數屈指可數
但我相信你對我的愛一定超過我的想像
有空到我的夢裡坐坐，好嗎？
媽，我愛你❤️",緣分再淺我還是愛妳,2018-05-14T03:27:04.439Z,2018-05-14T03:27:04.439Z,1,12,F
228876403,"從小到大，我都很獨立
在我有印象以來，我爸從我出生到高中畢業都處於會好賭愛喝酒幾乎什麼都來只差沒碰毒品
從有自己的工廠到我快出生時倒閉 導致在我媽媽懷我食時常營養不良導致我體弱多病
也間接被我哪現實的爸爸認定我是個常常跑醫院愛花他錢的藥罐子 且不能帶財的女生 ...（據說我出生他連抱我都不曾抱我
但這不是今天這個標題的主要原因

我媽是個外島為了她家計過來台灣工作的女人，遇上我爸後她首先拋棄了她家庭 不顧家裡反對要跟她斷絕關係跟我爸結婚

也為了我爸放棄她的事業 朋友 獨立的經濟能力跟生活圈 明明可以升遷也全放棄 

這些我都能同情

但不能理解的是 ..

家裡總共有4個小孩 
就因為它們當初沒有好好在懷我好好進補而是把那些進補的錢全賭掉一起玩掉

等到我出生 有段時間一直生病覺得我很浪費它們錢

四處跟她們朋友親戚說我是別人家抱來甚至當我面也是這樣排擠忽視我

在我有印象時

我爸就一直很愛玩好賭 

我媽則死心踏地的跟著他

幼稚園時從她火鍋店從早工作到晚

我爸則從早賭到晚

我到小學開始 衣服 自己去學校的用品幾乎都自己準備好 如果沒有主動自己準備好又要被謾罵 

只要生病了就被講是沒有用的傢伙 

甚至還在我睡覺一半咳嗽時 叫我罰跪到我不會咳才能去睡..注音符號九九乘法表不會背直接被我媽強制用打的全身是傷的打罵教育強迫我記 

我爸則是他不順心 賭博賭輸了 就找理由叫我罰跪 恐嚇我要打我來發洩...等等 

在高中還沒離鄉唸書那段時間 時常碰上她們兩天一小吵五天一大吵 

她們兩個都沒工作 時常為了錢吵架 還會大打出手

又加上我爸愛玩 

我媽為愛付出太多變的神經質 也時常在家喝酒發酒瘋吐了一地就算了 還把身邊的孩子（包括我）訴說著她當初的選擇的不滿與不幸 

甚至在情緒因酒精失控時用各種理由 

導致我心靈上造成無法調適的傷害 或者喝多了身邊兄弟姊妹逃避著 

只剩我默默帶著吐了一地的我媽洗澡 

還一直說要離開家離開我們 

或著問我要不要跟她最愛的弟弟一起離世就不用那麼痛苦 跟我們一起住的長輩一直很擔心 結果因為我過於負責任就只有一直問我發生什麼事或是幫忙阻止我媽

因為他們一開始對我的態度覺得我是多餘的

導致我會很主動的陪著我媽一起做家事

幫忙跟我媽一起兼差家庭代工邊唸書

主動把書唸好

主動的去討好人

主動的從小學開始都一個人上下學甚至很多事情都自己決定

也打從心底一定要靠學歷當籌碼離開家去外地生活

並且從高中就為了被認同 

每天從半夜三點唸書唸到隔天早上上完課到11點才休息 每一天都只睡6個小時沒什麼朋友沒什麼童年 

每學期拿了好多好多用我名字掛名拿到的政府補助 獎學金

就為了當初爸媽感嘆沒有自己的房子 

想之後能有存錢幫他們買公寓也在爸媽面前拍胸脯保證

也在20歲前考了15張專業證照以第一名成績上了外鄉的學校

可是 我以為一個人生活後就不會面對那些痛苦

我每個月努力工作賺的錢 都省吃簡用的匯給我媽當生活費5000～10000塊

過年期間還會匯更多 節慶也會匯

為了符合他們期待換了幾份工作

邊唸書邊工作 不如意的只會報者棉被哭

到最後近期他們因為我待了一個完全照勞基法的工作 他們怕被扣稅就不能一直不工作拿補助款生活

就直接罵我不孝順 自私自利 害死他們

剛好又在我因為他們不滿意的對象分手時給我鬧到公司要我換工作時講這些

我痛下決心把他們所有聯絡訊息都封鎖時他們還是持續打進公司學校鬧揚言要鬧到我工作學校都沒有

自己因為同時被最親的人為了錢跟我翻臉傷害我時

真的一度快走不下去

死撐著一個月不去學校白天都關在家裡

晚上再撐起笑容去公司上班 因為同事都知道我狀況讓我快受不了時給我溫暖 至少還知道有人在乎著我

在我喝太多酒時差點因為氣喘發作送命也是他們陪我 而不是像他們當下直接謾罵責怪打擾到他們休息時間

學校同學也因為我不去學校 頹廢一陣子而直接踢我畢業專題 我也不怪他們的不體諒

重要的是在過了一個月公司被我家裡盧了快兩個月我解開我爸的聯絡方式 並把我之前隱瞞下來不敢讓他知道我都有匯錢給我媽家裡補貼的銀行轉帳收據給家裡補貼

他才開始跟我道歉

還讓我得知我媽重男輕女的觀念下把我辛苦錢全給我成年不工作的弟弟 

還在我爸誤會我自私時 跟著謾罵我不孝順 逼著我把工作換到違法沒有任何勞健保的危險工作就職 要我每天工作處於危險又極大機率被剝削的工作著 哪不然就永遠不要回去...

而我弟則在他沒錢可以修電腦 

或者需要什麼開口跟我索求時我也二話不說幫他買單 

其他兄弟姊妹也都沒有一個人站出來維護我 而是順著我爸媽任性維護他們

他們對家裡幾乎沒有像我這樣老是讓自己一天兼兩份工作又要上課的幫忙顧家裡

卻在爸媽對我過於要求時全部離我而去

讓我一個人面對

甚至我媽最後被我爸罵她行為傷到我時還跑來罵我為什麼要把收據給我爸看害我爸跟我媽吵架起爭執

我媽全沒有任何維護我 把我當成女兒的維護 而是讓周圍的人都誤以為我一個人在外鄉打拼都是圖自己利益 學壞的去背叛家裡 現在所有親戚原本都以我之前成績榮譽以我為傲 現在我被指指點點 

我爸在道歉完還不是問我能不能幫忙獎學金的爭取 

要我匯錢表示孝心 爭取是沒問題但是要我祝福我媽母親節快樂我做不到了",這個母親節我沒辦法祝福我媽,2018-05-13T21:26:07.688Z,2018-05-14T02:22:14.132Z,6,16,F
228876357,"文章很冗長 請多多包涵 謝謝唷~

—————————————————————
我媽媽是一位菲律賓人
當年我爸爸到菲律賓工作而認識了我媽媽
明明英文很差卻莫名其妙把到我媽媽然後結了婚
待到我出生後幾個月就舉家來到了台灣
我媽媽那時候24歲 不知道算不算很年輕
不過大概就是大學畢業沒有幾年
她就這樣別了她的家人 離開她的家鄉
也因為有小孩的關係 她也算是放棄了夢想
在台灣開始了新的生活

我知道父母養育我和弟弟是非常辛苦
而他們為了這個家庭 認真努力地工作
也是非常辛苦的  特別是我媽媽
我爸媽他們是做工的 需要付出很大的勞力
然後我媽媽時常不午休直接上工
或者是加班加很晚 回到家都不知道幾點了 
有時候覺得她是工作狂
然而她說 這一切都是為了我們
她希望我們能過好一點 不要餓肚子

我知道我媽媽非常愛我們這個家
因為她在這裡所擁有的家人 只有我們
我也知道她非常掛念菲律賓的家人們
特別是她媽媽 也就是我外婆
因為我們家並沒有甚麼錢
所以沒辦法時常回到菲律賓
本來很早以前就計畫好今年暑假要回去
然而 我外婆就在上個月去世了

當我媽媽告訴我們這個消息時
表面上看起來很鎮定 但我知道她非常的難過
那是她的母親 她最愛的母親
本以為今年很快就要相見 但已經沒機會
我媽媽沒有哭 至少在我面前很堅強的不哭
她忙著聯絡其他親戚和準備行李
我很想跟著去 因為我也很難過
我從小因為英文很爛
所以每次回菲律賓都沒有跟外婆講話
本來想說這次回去終於可以跟外婆說上幾句英文
但是也沒有機會了 (愛要及時 各位)
因為家裡經濟問題和其他種種因素
就只有媽媽一個人回去奔喪

在媽媽回家鄉這段期間 我有穿封簡訊給她
就一些小鼓勵 並告訴她 我愛她
在幾年前外公去世時我也這樣做過
然而「我愛你」這三個字
一直都局限於簡訊內 我從來沒有開口對媽媽說過
不知道為什麼 我就是很難對家人說我愛你
我明明很愛我的家人 但就是莫名其妙不敢講

媽媽在菲律賓待了幾個禮拜就回來台灣了
然而媽媽回來以後 常常因為身體不舒服
待在房間裡不常出來
然而我知道她除了身體不舒服
還有內心很大的難過苦楚
雖然外婆已經去世一個月了
但媽媽還是很難去接受這個事實

昨天是母親節
我媽媽告訴了我們 昨天是外婆的生日
說完就直接哭了出來 並說出她心裡的難過
接著很努力的止住了眼淚
身為孩子的我當然也很難過
我很想上前給我媽媽一個擁抱
很想給她一個安慰 然而我完全做不到
雖然我爸爸有給我媽媽抱抱了
但我覺得我爸跟我一樣很不會安慰人哈哈哈
所以昨天一整天我都告訴自己一定要給媽媽擁抱

最後到了傍晚 我媽媽在廚房整理食材
我一直在那裡徘徊 然後一直幫忙洗碗盤
我一直很掙扎 不知道要怎麼開口
(我真的是很莫名其妙)
在那裡呆了十幾分鐘 我終於鼓起那一瞬間的勇氣
走向前對她說：「媽媽 母親節快樂 我愛妳~」
接著就給媽媽一個擁抱 完成了艱難的任務
希望我媽媽能因此得到些安慰

這是我這二十年來
第一次親口告訴媽媽我愛她
對我來說是很大的突破
當然我希望不只是口裡說說我愛妳
願我的所作所為都能表達我對媽媽的愛
然後聽媽媽的話 別讓她受傷  共勉之",終於對媽媽說我愛你,2018-05-13T20:40:23.349Z,2018-05-14T01:10:05.869Z,0,5,M
228875828,"昨天是一年一度的母親節
本來休假 因為一些事而改了班表

原本計畫要偷跑去員林找我媽吃頓飯慶祝
也因為這樣所以今天的行程取消了
PS 我是全家店員 在此今天上班的各位店員辛苦了

---------------------------正文如下--------------------

今天上班到一半 店長打給我說有人要找我
我們老闆有兩間店 我今天在另外一間上晚班
我一開始黑人問號??? 心想也沒有什麼仇人啊 是誰居然找到我工作地點直接去堵我😂
然後我就請店長轉告他說我在XX店 請他來這邊 就可以找到我了

一開始心裡既期待又怕受到傷害哈哈
本來想說是哪個朋友偷偷來探班還是怎樣的
結果過了10分鐘 我看到一個熟悉的女人
沒錯 就是我媽 我整個哽咽了一下.. 
我很心痛今天是母親節 本來應該是我這個做兒子的去找她 結果反而是她自己來找我

--------------來說一下我媽的人生好了------------

她是大陸人 年輕的時候認識了我爸(台灣人)
因為工作關係認識他們交往
跨海過來嫁給了我爸 生了我和我哥
我哥22 我20 也就來台灣22年了 
後來因為很多原因 大部分是錢 而離婚了
其實在我跟我哥小時候的時候就出問題了
等到我們都長大了 也逼不得已了才選擇分開
我媽辭去了待了10年的公司 跑去跟一位來台灣就認識的一位阿姨創業
很好朋友的那種 去彰化員林開了一間店 蒸足 類似泡腳的 釋放壓力那種
後來因為不合而吵架分裂了
那時候我媽離婚了朋友也沒了 無依無靠的 只有我跟我哥
但我也才高中 我哥也剛大學 都沒交通工具
大概一個月見一次我媽 
後來因緣際會她去學了美容 也考了執照
現在是一位美容師 看過我媽的人都說我媽很正哈哈 跟我媽出去 感覺像是姐姐帶弟弟
現在日子過的很好 完全不用我跟我哥擔心
動不動就問我有沒有錢 需不需要幫忙 
前陣子剛出車禍 我腦殘自撞 修了17000多元 我媽也想要幫助我 但我沒接受 畢竟我也長大成年有工作了 不再跟家人拿錢了 真的很謝謝她 

--------------------------回歸正文-----------------------

來到我們店後 我很驚訝的看著她並且問她怎麼會來 她說剛好路過什麼的 但我不太相信
一個身為母親最偉大的日子 身為她的兒子卻不能陪伴在她身邊  我能想像她的寂寞感
剛好我們老闆也在店裡面 雙方介紹過後
我媽問老闆說 我上班有沒有乖 
還好老闆給我面子 說我很不錯XD 挺上進的
看著我媽欣慰的笑容 我也很滿足了
在自己家人面前受到老闆的稱讚 是一件很光榮的事 至少我自己是這樣認為 
後來聊了幾句 我媽就要離開了 我也在上班不方便
走了過後 我拉著飲料排面 拉著拉著眼框都濕潤了 想了很久 於是打了段話給我媽
https://i.imgur.com/WKirn8C.jpg
https://i.imgur.com/6JaNpdB.jpg

心情很複雜 睡前想了很久 於是PO了這文章
第一次PO那麼長的文章 希望各位大哥大姐能賞臉 排版不好請見諒
認識我的朋友聽過我講故事的人
看了我的文章 別認我哈哈 
最後附上一張我美麗的媽媽照↓

https://i.imgur.com/Rw3KhvN.jpg

最後祝 全天下的媽媽 母親節快樂 ❤️❤️",我不是一個好兒子,2018-05-13T17:46:38.702Z,2018-05-15T02:24:03.849Z,7,54,M
